ord_scol,tipo_orario,num_anni,etichetta,percentuale_ammessi,anno,miur_code,school_id
Professional School,Evening,5,2021-22,0.0,1,TNCF008001,29267
Professional School,Evening,5,2021-22,0.0,2,TNCF008001,29267
Professional School,Evening,5,2021-22,58.82352941176471,3,TNCF008001,29267
Professional School,Evening,5,2021-22,0.0,4,TNCF008001,29267
Professional School,Evening,5,2021-22,0.0,5,TNCF008001,29267
Professional School,Morning,5,2021-22,85.43689320388349,1,TNCF005001,29271
Professional School,Morning,5,2021-22,85.47008547008546,2,TNCF005001,29271
Professional School,Morning,5,2021-22,90.17857142857144,3,TNCF005001,29271
Professional School,Morning,5,2021-22,96.875,4,TNCF005001,29271
Professional School,Morning,5,2021-22,94.44444444444444,5,TNCF005001,29271
Professional School,Morning,5,2021-22,98.30508474576273,1,TNCF004001,29273
Professional School,Morning,5,2021-22,86.4406779661017,2,TNCF004001,29273
Professional School,Morning,5,2021-22,73.17073170731707,3,TNCF004001,29273
Professional School,Morning,5,2021-22,96.36363636363636,4,TNCF004001,29273
Professional School,Morning,5,2021-22,97.5609756097561,5,TNCF004001,29273
Professional School,Morning,5,2021-22,81.25,1,TNCF003001,29283
Professional School,Morning,5,2021-22,89.87341772151899,2,TNCF003001,29283
Professional School,Morning,5,2021-22,91.02564102564102,3,TNCF003001,29283
Professional School,Morning,5,2021-22,100.0,4,TNCF003001,29283
Professional School,Morning,5,2021-22,93.22033898305084,5,TNCF003001,29283
Professional School,Evening,5,2021-22,0.0,1,TNCF003001,29284
Professional School,Evening,5,2021-22,0.0,2,TNCF003001,29284
Professional School,Evening,5,2021-22,70.37037037037037,3,TNCF003001,29284
Professional School,Evening,5,2021-22,0.0,4,TNCF003001,29284
Professional School,Evening,5,2021-22,0.0,5,TNCF003001,29284
High School,Morning,5,2021-22,87.92270531400966,1,TNIS00300A,29803
High School,Morning,5,2021-22,87.92270531400966,1,TNIS00300A,29805
High School,Morning,5,2021-22,87.92270531400966,1,TNIS00300A,29806
High School,Morning,5,2021-22,87.92270531400966,1,TNIS00300A,29807
High School,Morning,5,2021-22,87.92270531400966,1,TNIS00300A,29808
High School,Morning,5,2021-22,92.3076923076923,2,TNIS00300A,29803
High School,Morning,5,2021-22,92.3076923076923,2,TNIS00300A,29805
High School,Morning,5,2021-22,92.3076923076923,2,TNIS00300A,29806
High School,Morning,5,2021-22,92.3076923076923,2,TNIS00300A,29807
High School,Morning,5,2021-22,92.3076923076923,2,TNIS00300A,29808
High School,Morning,5,2021-22,87.5,3,TNIS00300A,29803
High School,Morning,5,2021-22,87.5,3,TNIS00300A,29805
High School,Morning,5,2021-22,87.5,3,TNIS00300A,29806
High School,Morning,5,2021-22,87.5,3,TNIS00300A,29807
High School,Morning,5,2021-22,87.5,3,TNIS00300A,29808
High School,Morning,5,2021-22,92.1686746987952,4,TNIS00300A,29803
High School,Morning,5,2021-22,92.1686746987952,4,TNIS00300A,29805
High School,Morning,5,2021-22,92.1686746987952,4,TNIS00300A,29806
High School,Morning,5,2021-22,92.1686746987952,4,TNIS00300A,29807
High School,Morning,5,2021-22,92.1686746987952,4,TNIS00300A,29808
High School,Morning,5,2021-22,90.3846153846154,5,TNIS00300A,29803
