data_inserimento,ord_scol_cap,ord_scol_ord,strutt_liv_1_cap,strutt_liv_1_cod_miur,strutt_liv_1_cod_pat,tipo_ora_id,valore,valore_d,valore_n,anno_scol,anno_corso,miur_code,school_id
1640991602000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE ENAIP - VILLAZZANO,nan,222059597,Evening,0.3793103448275862,29.0,11.0,2020-21,3,TNCF008001,29267
1640991602000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE OPERA ARMIDA BARELLI - ROVERETO,nan,221619598,Morning,0.063063063063063,111.0,7.0,2020-21,1,TNCF005001,29271
1640991602000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE OPERA ARMIDA BARELLI - ROVERETO,nan,221619598,Morning,0.0495867768595041,121.0,6.0,2020-21,2,TNCF005001,29271
1640991602000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE OPERA ARMIDA BARELLI - ROVERETO,nan,221619598,Morning,0.1415929203539823,113.0,16.0,2020-21,3,TNCF005001,29271
1640991602000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE OPERA ARMIDA BARELLI - ROVERETO,nan,221619598,Morning,0.1265822784810126,79.0,10.0,2020-21,4,TNCF005001,29271
1640991602000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE OPERA ARMIDA BARELLI - ROVERETO,nan,221619598,Morning,0.0416666666666666,24.0,1.0,2020-21,5,TNCF005001,29271
1640991602000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE PAVONIANO ARTIGIANELLI - TRENTO,nan,222059596,Morning,0.0,58.0,0.0,2020-21,1,TNCF004001,29273
1640991602000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE PAVONIANO ARTIGIANELLI - TRENTO,nan,222059596,Morning,0.0428571428571428,70.0,3.0,2020-21,2,TNCF004001,29273
1640991602000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE PAVONIANO ARTIGIANELLI - TRENTO,nan,222059596,Morning,0.1904761904761904,84.0,16.0,2020-21,3,TNCF004001,29273
1640991602000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE PAVONIANO ARTIGIANELLI - TRENTO,nan,222059596,Morning,0.0,50.0,0.0,2020-21,4,TNCF004001,29273
