school_id,miur_code,score,school_name
"29664
",TNEE826033,"3,8","

                
SCUOLA PRIMARIA TAIO
            
"
"29665
",TNMM826021,"3,8","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""F. BARBACOVI"" COREDO
            
"
"29666
",TNMM82601X,"3,8","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""F. BARBACOVI"" TAIO
            
"
"29677
",TNEE81901T,"3,3","

                
SCUOLA PRIMARIA ""U. MOGGIOLI"" POVO
            
"
"29678
",TNMM81901R,"3,8","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""G. PASCOLI"" POVO
            
"
"29680
",TNEE820012,"5,0","

                
SCUOLA PRIMARIA ""E. BERNARDI"" COGNOLA
            
"
"29681
",TNEE820045,"4,7","

                
SCUOLA PRIMARIA ""R. BELENZANI"" S.VITO
            
"
"29682
",TNEE820034,"5,0","

                
SCUOLA PRIMARIA ""R. ZANDONAI"" MARTIGNANO
            
"
"29684
",TNMM820011,"4,1","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""ARGENTARIO"" TRENTO
            
"
"29686
",TNEE85604X,"5,0","

                
SCUOLA PRIMARIA ""A. NICOLODI"" TRENTO
            
"
"29687
",TNEE85601R,"5,0","

                
SCUOLA PRIMARIA ""D. SAVIO"" TRENTO
            
"
"29688
",TNEE85602T,"3,0","

                
SCUOLA PRIMARIA ""G. B. DE GASPARI"" TRENTO
            
"
"29690
",TNMM85601Q,"4,0","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""BRONZETTI - SEGANTINI"" TRENTO
            
"
"29692
",TNEE85701L,"4,1","

                
SCUOLA PRIMARIA CLARINA TRENTO
            
"
"29693
",TNEE85702N,"5,0","

                
SCUOLA PRIMARIA LOCALITA' MADONNA BIANCA TRENTO
            
"
"29694
",TNEE85703P,"3,5","

                
SCUOLA PRIMARIA OSPEDALE INFANTILE TRENTO
            
"
"29695
",TNMM85701G,"3,0","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""O. WINKLER"" TRENTO
            
"
"29700
",TNEE85201D,"4,5","

                
SCUOLA PRIMARIA ""R. SANZIO"" TRENTO
            
"
"29702
",TNMM85201C,"2,8","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""G. BRESADOLA"" TRENTO
            
"
"29762
",TNTD002505,"4,5","

                
ISTITUTO PROFESSIONALE PER I SERVIZI SANITARI SERALE
            
"
"29763
",TNTD00201R,"4,5","

                
ISTITUTO TECNICO PER IL SETTORE ECONOMICO
            
"
"29764
",TNTD002505,"4,5","

                
ISTITUTO TECNICO PER IL SETTORE ECONOMICO SERALE
            
"
"29765
",TNTD00201R,"4,5","

                
ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO
            
"
