,school_id,miur_code,score,school_name
86,29889,TNPM006019,"3,8",LICEO DELLE SCIENZE UMANE OPZIONE ECONOMICO SOCIALE
87,29890,TNPS006018,"3,8",LICEO LINGUISTICO
88,29891,TNPS006018,"3,8",LICEO SCIENTIFICO
89,29892,TNPS006018,"3,8",LICEO SCIENTIFICO OPZIONE SCIENZE APPLICATE
90,29894,TNPM02000E,"3,9",LICEO DELLE SCIENZE UMANE
91,29895,TNPM02000E,"3,9",LICEO DELLE SCIENZE UMANE OPZIONE ECONOMICO SOCIALE
92,29897,TNPC04000G,"3,3",LICEO CLASSICO
93,29901,TNPS01000V,"4,1",LICEO SCIENTIFICO
94,29902,TNPS01000V,"4,1",LICEO SCIENTIFICO OPZIONE SCIENZE APPLICATE
95,29906,TNPS02000D,"4,5",LICEO SCIENTIFICO OPZIONE SCIENZE APPLICATE
96,29908,TNSD010009,"5,0",LICEO ARTISTICO
97,29909,TNPS09000Q,"5,0",LICEO LADINO DELLE LINGUE
98,29910,TNPS09000Q,"5,0",LICEO SCIENTIFICO
99,29912,TNEE85003X,"5,0","SCUOLA PRIMARIA ""DON L. GROSS"" POZZA DI FASSA"
100,29913,TNEE85001T,"5,0","SCUOLA PRIMARIA ""G. RIZZI"" CANAZEI"
101,29919,TNRI015007,"4,1",ISTITUTO PROFESSIONALE PER IL SETTORE DEI SERVIZI
102,29920,TNTN01500Q,"4,1",ISTITUTO TECNICO PER IL SETTORE ECONOMICO
103,29921,TNTE045005,"4,1",ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO
104,29922,TNFP269STA,"4,1",SETTORE SERVIZI
105,29932,,"5,0",SCUOLA DELL'INFANZIA DI ANDALO
106,29938,,"5,0",SCUOLA DELL'INFANZIA DI BARCO DI LEVICO
107,29940,,"3,0",SCUOLA DELL'INFANZIA DI BOLOGNANO
108,29944,,"4,7",SCUOLA DELL'INFANZIA DI BORGO SACCO
109,29946,,"5,0",SCUOLA DELL'INFANZIA DI BORGO VALSUGANA
110,29948,,"5,0",SCUOLA DELL'INFANZIA DI BRENTONICO
111,29952,,"5,0",SCUOLA DELL'INFANZIA DI CALDONAZZO
112,29956,,"3,0",SCUOLA DELL'INFANZIA DI CAMPODENNO
113,30064,,"5,0",SCUOLA DELL'INFANZIA DI NOMI
114,30080,,"5,0",SCUOLA DELL'INFANZIA DI PIEVE TESINO
115,30090,,"5,0",SCUOLA DELL'INFANZIA DI POVO
116,30096,,"5,0",SCUOLA DELL'INFANZIA DI PRESSANO
117,30104,,"5,0","SCUOLA DELL'INFANZIA DI RIVA ""DEGASPERI"""
118,30166,,"4,0",SCUOLA DELL'INFANZIA DI TENNO
119,30172,,"5,0",SCUOLA DELL'INFANZIA DI TONADICO
120,30182,,"5,0","SCUOLA DELL'INFANZIA DI TRENTO ""PEDROTTI"""
121,30188,,"5,0",SCUOLA DELL'INFANZIA DI TRENTO S. BARTOLOMEO
122,30194,,"5,0","SCUOLA DELL'INFANZIA DI TRENTO COGNOLA ""B. KOFLER"""
123,30196,,"5,0",SCUOLA DELL'INFANZIA DI TRENTO LA CLARINA
124,30202,,"4,5",SCUOLA DELL'INFANZIA DI VARONE
125,30204,,"4,0",SCUOLA DELL'INFANZIA DI VERMIGLIO
126,30014,,"5,0",SCUOLA DELL'INFANZIA DI ISCHIA DI PERGINE
127,30022,,"5,0",SCUOLA DELL'INFANZIA DI LONA
128,30026,,"5,0",SCUOLA DELL'INFANZIA DI MADRANO
129,30034,,"5,0",SCUOLA DELL'INFANZIA DI MARTIGNANO
130,30040,,"5,0",SCUOLA DELL'INFANZIA DI MECHEL
131,30044,,"5,0",SCUOLA DELL'INFANZIA DI MEZZOCORONA
132,30054,,"5,0",SCUOLA DELL'INFANZIA DI MOLVENO
133,30058,,"5,0",SCUOLA DELL'INFANZIA DI MORI
134,30120,,"5,0","SCUOLA DELL'INFANZIA DI ROVERETO ""ROSMINI"""
135,30122,,"5,0",SCUOLA DELL'INFANZIA DI S. CROCE BLEGGIO
136,30128,,"5,0",SCUOLA DELL'INFANZIA DI SABBIONARA
137,30136,,"3,0",SCUOLA DELL'INFANZIA DI SEGNO
138,30148,,"5,0",SCUOLA DELL'INFANZIA DI SOPRAMONTE
139,29972,,"5,0",SCUOLA DELL'INFANZIA DI CAVEDINE
140,29974,,"3,5",SCUOLA DELL'INFANZIA DI CEMBRA
141,30008,,"5,0",SCUOLA DELL'INFANZIA DI GARDOLO
142,29704,TNEE85806N,"4,5","SCUOLA PRIMARIA ""A. DEGASPERI"" SARDAGNA"
143,29705,TNEE85802D,"4,2","SCUOLA PRIMARIA ""A. SCHMID"" CRISTO RE TRENTO"
144,29706,TNEE85801C,"4,2","SCUOLA PRIMARIA ""BEATO S. BELLESINI"" TRENTO"
145,29708,TNEE85803E,"5,0","SCUOLA PRIMARIA ""SAN VIGILIO"" VELA"
146,29710,TNMM85801B,"4,2","SCUOLA SECONDARIA DI PRIMO GRADO ""A. MANZONI"" TRENTO"
147,29732,TNEE844101,"4,7",SCUOLA PRIMARIA PIETRAMURATA
148,29734,TNEE84402G,"4,5",SCUOLA PRIMARIA TERLAGO
149,29735,TNEE84403L,"4,0",SCUOLA PRIMARIA VEZZANO
150,29738,TNMM84403G,"2,3","SCUOLA SECONDARIA DI PRIMO GRADO ""NUOVA EUROPA"" DRO"
151,29748,TNEE803018,"5,0",SCUOLA PRIMARIA VIGOLO VATTARO
152,29749,TNMM803017,"5,0",SCUOLA SECONDARIA DI PRIMO GRADO VIGOLO VATTARO
153,29751,TNEE84606B,"2,0","SCUOLA PRIMARIA ""L. VICENTINI"" NOMI"
154,29752,TNEE846038,"4,0","SCUOLA PRIMARIA ""P. LODRON"" VILLA LAGARINA"
155,29755,TNMM846015,"3,0","SCUOLA SECONDARIA DI PRIMO GRADO ""A. FRANK"" VILLA LAGARINA"
156,29512,TNEE817038,"2,5","SCUOLA PRIMARIA ""A. GIRARDI"" FORNACE"
