data_inserimento,ord_scol_cap,ord_scol_ord,strutt_liv_1_cap,strutt_liv_1_cod_miur,strutt_liv_1_cod_pat,tipo_ora_id,valore,valore_d,valore_n,anno_scol,anno_corso,miur_code
1640991601000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO DI ISTRUZIONE ""M. Martini"" - MEZZOLOMBARDO",TNIS00300A,0221179501,SERALE,0.0,12.0,0.0,2020/21,3,TNIS00300A
1640991601000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO DI ISTRUZIONE ""M. Martini"" - MEZZOLOMBARDO",TNIS00300A,0221179501,SERALE,0.09090909090909091,11.0,1.0,2020/21,4,TNIS00300A
1640991601000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO DI ISTRUZIONE ""M. Martini"" - MEZZOLOMBARDO",TNIS00300A,0221179501,SERALE,0.07692307692307693,13.0,1.0,2020/21,5,TNIS00300A
1640991602000,SECONDARIA DI SECONDO GRADO,4,"LICEO DELLE ARTI DI TRENTO E ROVERETO ""Vittoria-Bonporti-Depero""",TNSD02000X,0222059516,DIURNO,0.01818181818181818,220.0,4.0,2020/21,1,TNSD02000X
1640991602000,SECONDARIA DI SECONDO GRADO,4,"LICEO DELLE ARTI DI TRENTO E ROVERETO ""Vittoria-Bonporti-Depero""",TNSD02000X,0222059516,DIURNO,0.011811023622047244,254.0,3.0,2020/21,2,TNSD02000X
1640991602000,SECONDARIA DI SECONDO GRADO,4,"LICEO DELLE ARTI DI TRENTO E ROVERETO ""Vittoria-Bonporti-Depero""",TNSD02000X,0222059516,DIURNO,0.01818181818181818,275.0,5.0,2020/21,3,TNSD02000X
1640991602000,SECONDARIA DI SECONDO GRADO,4,"LICEO DELLE ARTI DI TRENTO E ROVERETO ""Vittoria-Bonporti-Depero""",TNSD02000X,0222059516,DIURNO,0.01834862385321101,218.0,4.0,2020/21,4,TNSD02000X
1640991602000,SECONDARIA DI SECONDO GRADO,4,"LICEO DELLE ARTI DI TRENTO E ROVERETO ""Vittoria-Bonporti-Depero""",TNSD02000X,0222059516,DIURNO,0.0,229.0,0.0,2020/21,5,TNSD02000X
1640991602000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO TECNICO ECONOMICO ""A. Tambosi"" - TRENTO",TNTD18000T,0222059503,DIURNO,0.0,170.0,0.0,2020/21,1,TNTD18000T
1640991602000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO TECNICO ECONOMICO ""A. Tambosi"" - TRENTO",TNTD18000T,0222059503,DIURNO,0.005376344086021506,186.0,1.0,2020/21,2,TNTD18000T
