,Unnamed: 0,data_inserimento,ord_scol_cap,ord_scol_ord,strutt_liv_1_cap,strutt_liv_1_cod_miur,strutt_liv_1_cod_pat,tipo_ora_id,valore,valore_d,valore_n,anno_scol,anno_corso,miur_code
54,54,1640991602000,High School,4,"LICEO DELLE ARTI DI TRENTO E ROVERETO ""VITTORIA-BONPORTI-DEPERO""",TNSD02000X,222059516,Morning,0.0,229.0,0.0,2020-21,5,TNSD02000X
55,55,1640991602000,High School,4,"ISTITUTO TECNICO ECONOMICO ""A. TAMBOSI"" - TRENTO",TNTD18000T,222059503,Morning,0.0,170.0,0.0,2020-21,1,TNTD18000T
56,56,1640991602000,High School,4,"ISTITUTO TECNICO ECONOMICO ""A. TAMBOSI"" - TRENTO",TNTD18000T,222059503,Morning,0.0053763440860215,186.0,1.0,2020-21,2,TNTD18000T
57,57,1640991602000,High School,4,"ISTITUTO TECNICO ECONOMICO ""A. TAMBOSI"" - TRENTO",TNTD18000T,222059503,Morning,0.0,155.0,0.0,2020-21,3,TNTD18000T
58,58,1640991602000,High School,4,"ISTITUTO TECNICO ECONOMICO ""A. TAMBOSI"" - TRENTO",TNTD18000T,222059503,Morning,0.0,172.0,0.0,2020-21,4,TNTD18000T
59,59,1640991602000,High School,4,"ISTITUTO TECNICO ECONOMICO ""A. TAMBOSI"" - TRENTO",TNTD18000T,222059503,Morning,0.0175438596491228,171.0,3.0,2020-21,5,TNTD18000T
60,60,1640991602000,High School,4,"ISTITUTO TECNICO ECONOMICO ""A. TAMBOSI"" - TRENTO",TNTD18000T,222059503,Evening,0.4166666666666667,12.0,5.0,2020-21,1,TNTD18000T
61,61,1640991602000,High School,4,"ISTITUTO TECNICO ECONOMICO ""A. TAMBOSI"" - TRENTO",TNTD18000T,222059503,Evening,0.0909090909090909,11.0,1.0,2020-21,2,TNTD18000T
62,62,1640991602000,High School,4,"ISTITUTO TECNICO ECONOMICO ""A. TAMBOSI"" - TRENTO",TNTD18000T,222059503,Evening,0.2105263157894736,38.0,8.0,2020-21,3,TNTD18000T
63,63,1640991602000,High School,4,"ISTITUTO TECNICO ECONOMICO ""A. TAMBOSI"" - TRENTO",TNTD18000T,222059503,Evening,0.1111111111111111,27.0,3.0,2020-21,4,TNTD18000T
64,64,1640991602000,High School,4,"ISTITUTO TECNICO ECONOMICO ""A. TAMBOSI"" - TRENTO",TNTD18000T,222059503,Evening,0.054054054054054,37.0,2.0,2020-21,5,TNTD18000T
65,65,1640991601000,High School,4,"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""C.A. PILATI"" - CLES",TNTD100001,220629501,Morning,0.0,138.0,0.0,2020-21,1,TNTD100001
66,66,1640991601000,High School,4,"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""C.A. PILATI"" - CLES",TNTD100001,220629501,Morning,0.0,149.0,0.0,2020-21,2,TNTD100001
67,67,1640991601000,High School,4,"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""C.A. PILATI"" - CLES",TNTD100001,220629501,Morning,0.0197368421052631,152.0,3.0,2020-21,3,TNTD100001
68,68,1640991601000,High School,4,"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""C.A. PILATI"" - CLES",TNTD100001,220629501,Morning,0.0,118.0,0.0,2020-21,4,TNTD100001
