data_inserimento,ord_scol_cap,ord_scol_ord,strutt_liv_1_cap,strutt_liv_1_cod_miur,strutt_liv_1_cod_pat,tipo_ora_id,valore,valore_d,valore_n,anno_scol,miur_code
1640991604000,PRIMARIA,2,ISTITUTO COMPRENSIVO STRIGNO E TESINO,TNIC80100E,0221852901,DIURNO,0.0,350.0,0.0,2020/21,TNIC80100E
1640991604000,SECONDARIA DI PRIMO GRADO,3,ISTITUTO COMPRENSIVO STRIGNO E TESINO,TNIC80100E,0221852901,DIURNO,0.0,225.0,0.0,2020/21,TNIC80100E
1640991603000,PRIMARIA,2,ISTITUTO COMPRENSIVO GIUDICARIE ESTERIORI,TNIC837009,0220162901,DIURNO,0.0,390.0,0.0,2020/21,TNIC837009
1640991603000,SECONDARIA DI PRIMO GRADO,3,ISTITUTO COMPRENSIVO GIUDICARIE ESTERIORI,TNIC837009,0220162901,DIURNO,0.0,244.0,0.0,2020/21,TNIC837009
1640991604000,PRIMARIA,2,ISTITUTO COMPRENSIVO LAVIS,TNIC825003,0221032901,DIURNO,0.0,578.0,0.0,2020/21,TNIC825003
1640991604000,SECONDARIA DI PRIMO GRADO,3,ISTITUTO COMPRENSIVO LAVIS,TNIC825003,0221032901,DIURNO,0.0,336.0,0.0,2020/21,TNIC825003
1640991604000,PRIMARIA,2,ISTITUTO COMPRENSIVO LEVICO TERME,TNIC81800X,0221042901,DIURNO,0.0,707.0,0.0,2020/21,TNIC81800X
1640991604000,SECONDARIA DI PRIMO GRADO,3,ISTITUTO COMPRENSIVO LEVICO TERME,TNIC81800X,0221042901,DIURNO,0.0,476.0,0.0,2020/21,TNIC81800X
1640991604000,PRIMARIA,2,ISTITUTO COMPRENSIVO MEZZOCORONA,TNIC82300B,0221162901,DIURNO,0.0,595.0,0.0,2020/21,TNIC82300B
1640991604000,SECONDARIA DI PRIMO GRADO,3,ISTITUTO COMPRENSIVO MEZZOCORONA,TNIC82300B,0221162901,DIURNO,0.0,332.0,0.0,2020/21,TNIC82300B
1640991604000,PRIMARIA,2,ISTITUTO COMPRENSIVO MEZZOLOMBARDO - PAGANELLA,TNIC824007,0221172901,DIURNO,0.0,682.0,0.0,2020/21,TNIC824007
1640991604000,SECONDARIA DI PRIMO GRADO,3,ISTITUTO COMPRENSIVO MEZZOLOMBARDO - PAGANELLA,TNIC824007,0221172901,DIURNO,0.0,408.0,0.0,2020/21,TNIC824007
1640991603000,PRIMARIA,2,ISTITUTO COMPRENSIVO AVIO,TNIC84700X,0220072901,DIURNO,0.005076142131979695,197.0,1.0,2020/21,TNIC84700X
1640991603000,SECONDARIA DI PRIMO GRADO,3,ISTITUTO COMPRENSIVO AVIO,TNIC84700X,0220072901,DIURNO,0.006993006993006993,143.0,1.0,2020/21,TNIC84700X
1640991604000,PRIMARIA,2,"ISTITUTO COMPRENSIVO BASSA VAL DI SOLE ""G. Ciccolini""",TNIC833002,0221102901,DIURNO,0.0,365.0,0.0,2020/21,TNIC833002
1640991604000,SECONDARIA DI PRIMO GRADO,3,"ISTITUTO COMPRENSIVO BASSA VAL DI SOLE ""G. Ciccolini""",TNIC833002,0221102901,DIURNO,0.0,247.0,0.0,2020/21,TNIC833002
1640991603000,PRIMARIA,2,ISTITUTO COMPRENSIVO BORGO VALSUGANA,TNIC812001,0220222901,DIURNO,0.0,368.0,0.0,2020/21,TNIC812001
1640991603000,SECONDARIA DI PRIMO GRADO,3,ISTITUTO COMPRENSIVO BORGO VALSUGANA,TNIC812001,0220222901,DIURNO,0.0,233.0,0.0,2020/21,TNIC812001
1640991603000,PRIMARIA,2,ISTITUTO COMPRENSIVO CAVALESE,TNIC809005,0220502901,DIURNO,0.0,467.0,0.0,2020/21,TNIC809005
1640991603000,SECONDARIA DI PRIMO GRADO,3,ISTITUTO COMPRENSIVO CAVALESE,TNIC809005,0220502901,DIURNO,0.0,319.0,0.0,2020/21,TNIC809005
1640991603000,PRIMARIA,2,ISTITUTO COMPRENSIVO CEMBRA,TNIC82200G,0220552901,DIURNO,0.0,415.0,0.0,2020/21,TNIC82200G
1640991603000,SECONDARIA DI PRIMO GRADO,3,ISTITUTO COMPRENSIVO CEMBRA,TNIC82200G,0220552901,DIURNO,0.0,257.0,0.0,2020/21,TNIC82200G
1640991604000,PRIMARIA,2,ISTITUTO COMPRENSIVO TAIO,TNIC82600V,0221862901,DIURNO,0.0,363.0,0.0,2020/21,TNIC82600V
1640991604000,SECONDARIA DI PRIMO GRADO,3,ISTITUTO COMPRENSIVO TAIO,TNIC82600V,0221862901,DIURNO,0.004424778761061947,226.0,1.0,2020/21,TNIC82600V
1640991604000,PRIMARIA,2,ISTITUTO COMPRENSIVO TIONE,TNIC83600D,0221992901,DIURNO,0.0,436.0,0.0,2020/21,TNIC83600D
1640991604000,SECONDARIA DI PRIMO GRADO,3,ISTITUTO COMPRENSIVO TIONE,TNIC83600D,0221992901,DIURNO,0.0,264.0,0.0,2020/21,TNIC83600D
1640991604000,PRIMARIA,2,ISTITUTO COMPRENSIVO TRENTO 1,TNIC81900Q,0222052901,DIURNO,0.0,448.0,0.0,2020/21,TNIC81900Q
1640991604000,SECONDARIA DI PRIMO GRADO,3,ISTITUTO COMPRENSIVO TRENTO 1,TNIC81900Q,0222052901,DIURNO,0.0,319.0,0.0,2020/21,TNIC81900Q
1640991604000,PRIMARIA,2,"ISTITUTO COMPRENSIVO TRENTO 2 ""J. A. Comenius""",TNIC82000X,0222052902,DIURNO,0.003179650238473768,629.0,2.0,2020/21,TNIC82000X
1640991604000,SECONDARIA DI PRIMO GRADO,3,"ISTITUTO COMPRENSIVO TRENTO 2 ""J. A. Comenius""",TNIC82000X,0222052902,DIURNO,0.0,419.0,0.0,2020/21,TNIC82000X
1640991604000,PRIMARIA,2,ISTITUTO COMPRENSIVO TRENTO 3,TNIC85600P,0222052908,DIURNO,0.00697350069735007,717.0,5.0,2020/21,TNIC85600P
1640991604000,SECONDARIA DI PRIMO GRADO,3,ISTITUTO COMPRENSIVO TRENTO 3,TNIC85600P,0222052908,DIURNO,0.004464285714285714,448.0,2.0,2020/21,TNIC85600P
1640991604000,PRIMARIA,2,ISTITUTO COMPRENSIVO TRENTO 4,TNIC85700E,0222052904,DIURNO,0.0,431.0,0.0,2020/21,TNIC85700E
1640991604000,SECONDARIA DI PRIMO GRADO,3,ISTITUTO COMPRENSIVO TRENTO 4,TNIC85700E,0222052904,DIURNO,0.0,306.0,0.0,2020/21,TNIC85700E
1640991604000,PRIMARIA,2,ISTITUTO COMPRENSIVO TRENTO 5,TNIC85200B,0222052905,DIURNO,0.002296211251435132,871.0,2.0,2020/21,TNIC85200B
