,Unnamed: 0,data_inserimento,ord_scol_cap,ord_scol_ord,strutt_liv_1_cap,strutt_liv_1_cod_miur,strutt_liv_1_cod_pat,tipo_ora_id,valore,valore_d,valore_n,anno_scol,miur_code
57,57,1640991604000,Middle School,3,ISTITUTO COMPRENSIVO ALTA VALLAGARINA,TNIC86000A,221612906,Morning,0.0,215.0,0.0,2020-21,TNIC86000A
58,58,1640991603000,Primary School,2,ISTITUTO COMPRENSIVO ALTOPIANO DI PINE',TNIC816008,220092901,Morning,0.0,327.0,0.0,2020-21,TNIC816008
59,59,1640991603000,Middle School,3,ISTITUTO COMPRENSIVO ALTOPIANO DI PINE',TNIC816008,220092901,Morning,0.0052083333333333,192.0,1.0,2020-21,TNIC816008
60,60,1640991603000,Primary School,2,ISTITUTO COMPRENSIVO ARCO,TNIC840005,220062901,Morning,0.0,860.0,0.0,2020-21,TNIC840005
61,61,1640991603000,Middle School,3,ISTITUTO COMPRENSIVO ARCO,TNIC840005,220062901,Morning,0.0,474.0,0.0,2020-21,TNIC840005
62,62,1640991604000,Primary School,2,ISTITUTO COMPRENSIVO PERGINE 1,TNIC81400L,221392901,Morning,0.0,581.0,0.0,2020-21,TNIC81400L
63,63,1640991604000,Middle School,3,ISTITUTO COMPRENSIVO PERGINE 1,TNIC81400L,221392901,Morning,0.0,374.0,0.0,2020-21,TNIC81400L
64,64,1640991604000,Primary School,2,"ISTITUTO COMPRENSIVO PERGINE 2 ""C. FREINET""",TNIC81500C,221392902,Morning,0.0,622.0,0.0,2020-21,TNIC81500C
65,65,1640991604000,Middle School,3,"ISTITUTO COMPRENSIVO PERGINE 2 ""C. FREINET""",TNIC81500C,221392902,Morning,0.0,386.0,0.0,2020-21,TNIC81500C
66,66,1640991604000,Primary School,2,ISTITUTO COMPRENSIVO PREDAZZO TESERO PANCHIA' ZIANO,TNIC808009,221472902,Morning,0.0,458.0,0.0,2020-21,TNIC808009
67,67,1640991604000,Middle School,3,ISTITUTO COMPRENSIVO PREDAZZO TESERO PANCHIA' ZIANO,TNIC808009,221472902,Morning,0.0,265.0,0.0,2020-21,TNIC808009
68,68,1640991604000,Primary School,2,"ISTITUTO COMPRENSIVO RIVA 2 ""L. PIZZINI""",TNIC84200R,221532902,Morning,0.0,566.0,0.0,2020-21,TNIC84200R
69,69,1640991604000,Middle School,3,"ISTITUTO COMPRENSIVO RIVA 2 ""L. PIZZINI""",TNIC84200R,221532902,Morning,0.0,297.0,0.0,2020-21,TNIC84200R
70,70,1640991604000,Primary School,2,ISTITUTO COMPRENSIVO ROVERETO NORD,TNIC859006,221612904,Morning,0.0,451.0,0.0,2020-21,TNIC859006
71,71,1640991604000,Middle School,3,ISTITUTO COMPRENSIVO ROVERETO NORD,TNIC859006,221612904,Morning,0.0,310.0,0.0,2020-21,TNIC859006
72,72,1640991604000,Primary School,2,ISTITUTO COMPRENSIVO STRIGNO E TESINO,TNIC80100E,221852901,Morning,0.0,350.0,0.0,2020-21,TNIC80100E
73,73,1640991604000,Middle School,3,ISTITUTO COMPRENSIVO STRIGNO E TESINO,TNIC80100E,221852901,Morning,0.0,225.0,0.0,2020-21,TNIC80100E
74,74,1640991603000,Primary School,2,ISTITUTO COMPRENSIVO GIUDICARIE ESTERIORI,TNIC837009,220162901,Morning,0.0,390.0,0.0,2020-21,TNIC837009
75,75,1640991603000,Middle School,3,ISTITUTO COMPRENSIVO GIUDICARIE ESTERIORI,TNIC837009,220162901,Morning,0.0,244.0,0.0,2020-21,TNIC837009
76,76,1640991604000,Primary School,2,ISTITUTO COMPRENSIVO LAVIS,TNIC825003,221032901,Morning,0.0,578.0,0.0,2020-21,TNIC825003
77,77,1640991604000,Middle School,3,ISTITUTO COMPRENSIVO LAVIS,TNIC825003,221032901,Morning,0.0,336.0,0.0,2020-21,TNIC825003
78,78,1640991604000,Primary School,2,ISTITUTO COMPRENSIVO LEVICO TERME,TNIC81800X,221042901,Morning,0.0,707.0,0.0,2020-21,TNIC81800X
79,79,1640991604000,Middle School,3,ISTITUTO COMPRENSIVO LEVICO TERME,TNIC81800X,221042901,Morning,0.0,476.0,0.0,2020-21,TNIC81800X
80,80,1640991604000,Primary School,2,ISTITUTO COMPRENSIVO MEZZOCORONA,TNIC82300B,221162901,Morning,0.0,595.0,0.0,2020-21,TNIC82300B
81,81,1640991604000,Middle School,3,ISTITUTO COMPRENSIVO MEZZOCORONA,TNIC82300B,221162901,Morning,0.0,332.0,0.0,2020-21,TNIC82300B
82,82,1640991604000,Primary School,2,ISTITUTO COMPRENSIVO MEZZOLOMBARDO - PAGANELLA,TNIC824007,221172901,Morning,0.0,682.0,0.0,2020-21,TNIC824007
83,83,1640991604000,Middle School,3,ISTITUTO COMPRENSIVO MEZZOLOMBARDO - PAGANELLA,TNIC824007,221172901,Morning,0.0,408.0,0.0,2020-21,TNIC824007
84,84,1640991603000,Primary School,2,ISTITUTO COMPRENSIVO AVIO,TNIC84700X,220072901,Morning,0.0050761421319796,197.0,1.0,2020-21,TNIC84700X
85,85,1640991603000,Middle School,3,ISTITUTO COMPRENSIVO AVIO,TNIC84700X,220072901,Morning,0.0069930069930069,143.0,1.0,2020-21,TNIC84700X
86,86,1640991604000,Primary School,2,"ISTITUTO COMPRENSIVO BASSA VAL DI SOLE ""G. CICCOLINI""",TNIC833002,221102901,Morning,0.0,365.0,0.0,2020-21,TNIC833002
87,87,1640991604000,Middle School,3,"ISTITUTO COMPRENSIVO BASSA VAL DI SOLE ""G. CICCOLINI""",TNIC833002,221102901,Morning,0.0,247.0,0.0,2020-21,TNIC833002
88,88,1640991603000,Primary School,2,ISTITUTO COMPRENSIVO BORGO VALSUGANA,TNIC812001,220222901,Morning,0.0,368.0,0.0,2020-21,TNIC812001
89,89,1640991603000,Middle School,3,ISTITUTO COMPRENSIVO BORGO VALSUGANA,TNIC812001,220222901,Morning,0.0,233.0,0.0,2020-21,TNIC812001
90,90,1640991603000,Primary School,2,ISTITUTO COMPRENSIVO CAVALESE,TNIC809005,220502901,Morning,0.0,467.0,0.0,2020-21,TNIC809005
91,91,1640991603000,Middle School,3,ISTITUTO COMPRENSIVO CAVALESE,TNIC809005,220502901,Morning,0.0,319.0,0.0,2020-21,TNIC809005
92,92,1640991603000,Primary School,2,ISTITUTO COMPRENSIVO CEMBRA,TNIC82200G,220552901,Morning,0.0,415.0,0.0,2020-21,TNIC82200G
93,93,1640991603000,Middle School,3,ISTITUTO COMPRENSIVO CEMBRA,TNIC82200G,220552901,Morning,0.0,257.0,0.0,2020-21,TNIC82200G
94,94,1640991604000,Primary School,2,ISTITUTO COMPRENSIVO TAIO,TNIC82600V,221862901,Morning,0.0,363.0,0.0,2020-21,TNIC82600V
95,95,1640991604000,Middle School,3,ISTITUTO COMPRENSIVO TAIO,TNIC82600V,221862901,Morning,0.0044247787610619,226.0,1.0,2020-21,TNIC82600V
96,96,1640991604000,Primary School,2,ISTITUTO COMPRENSIVO TIONE,TNIC83600D,221992901,Morning,0.0,436.0,0.0,2020-21,TNIC83600D
97,97,1640991604000,Middle School,3,ISTITUTO COMPRENSIVO TIONE,TNIC83600D,221992901,Morning,0.0,264.0,0.0,2020-21,TNIC83600D
98,98,1640991604000,Primary School,2,ISTITUTO COMPRENSIVO TRENTO 1,TNIC81900Q,222052901,Morning,0.0,448.0,0.0,2020-21,TNIC81900Q
99,99,1640991604000,Middle School,3,ISTITUTO COMPRENSIVO TRENTO 1,TNIC81900Q,222052901,Morning,0.0,319.0,0.0,2020-21,TNIC81900Q
100,100,1640991604000,Primary School,2,"ISTITUTO COMPRENSIVO TRENTO 2 ""J. A. COMENIUS""",TNIC82000X,222052902,Morning,0.0031796502384737,629.0,2.0,2020-21,TNIC82000X
101,101,1640991604000,Middle School,3,"ISTITUTO COMPRENSIVO TRENTO 2 ""J. A. COMENIUS""",TNIC82000X,222052902,Morning,0.0,419.0,0.0,2020-21,TNIC82000X
102,102,1640991604000,Primary School,2,ISTITUTO COMPRENSIVO TRENTO 3,TNIC85600P,222052908,Morning,0.00697350069735,717.0,5.0,2020-21,TNIC85600P
103,103,1640991604000,Middle School,3,ISTITUTO COMPRENSIVO TRENTO 3,TNIC85600P,222052908,Morning,0.0044642857142857,448.0,2.0,2020-21,TNIC85600P
104,104,1640991604000,Primary School,2,ISTITUTO COMPRENSIVO TRENTO 4,TNIC85700E,222052904,Morning,0.0,431.0,0.0,2020-21,TNIC85700E
105,105,1640991604000,Middle School,3,ISTITUTO COMPRENSIVO TRENTO 4,TNIC85700E,222052904,Morning,0.0,306.0,0.0,2020-21,TNIC85700E
106,106,1640991604000,Primary School,2,ISTITUTO COMPRENSIVO TRENTO 5,TNIC85200B,222052905,Morning,0.0022962112514351,871.0,2.0,2020-21,TNIC85200B
107,107,1640991604000,Middle School,3,ISTITUTO COMPRENSIVO TRENTO 5,TNIC85200B,222052905,Morning,0.002,500.0,1.0,2020-21,TNIC85200B
